Feature,Avg_Importance,XGB_Importance,LGB_Importance,CB_Importance,Normalized_Importance,Cumulative_Importance
summary_length,381.06796529255234,0.052208208,1138,5.151687670109442,0.08250739869493272,0.08250739869493272
total_endorsements,360.7779882351387,0.029413167,1079,3.304551538028852,0.07811428938357444,0.16062168807850716
avg_skill_duration_months,343.8400752365587,0.019764598,1028,3.5004611112168638,0.07444695634034411,0.23506864441885128
domain_x_years,312.38642930797823,0.024737693,936,1.1345502305653314,0.06763673154738287,0.30270537596623415
years_total,256.9319027892304,0.014823091,768,2.780885276474744,0.055629926605360445,0.35833530257159457
num_advanced_skills,250.24124983969773,0.032286175,748,2.6914633444978406,0.054181291661689134,0.4125165942332837
skills_x_engagement,250.0103735798483,0.014302294,748,2.0168184457749145,0.054131303204627494,0.4666478974379112
ideal_years_score,234.0209437201105,0.04299271,691,11.019838449264315,0.050669332153533655,0.5173172295914449
notice_period_days,225.29612977319582,0.012143849,673,2.876245470192162,0.04878026834229319,0.5660974979337381
recruiter_response_rate,224.54993959744124,0.005319345,672,1.6444994475125314,0.04861870605960181,0.6147162039933399
max_skill_duration_months,221.6504235817729,0.012185056,663,1.9390856895562698,0.047990913787051614,0.6627071177803916
profile_completeness,211.3159251817713,0.004821756,633,0.9429537893905513,0.04575332716875252,0.7084604449491441
num_skills,207.41074046719396,0.0050931624,621,1.2271282391682563,0.04490779130226837,0.7533682362514125
product_company_ratio,189.8524018720515,0.006892336,569,0.5503132800877044,0.04110612604872795,0.7944743623001405
avg_response_time_hours,173.89264068743157,0.004649306,521,0.6732727561128716,0.03765057874727893,0.8321249410474194
avg_endorsements_per_skill,167.75339950094042,0.0058815936,502,1.2543169092585944,0.036321333398960806,0.8684462744463802
domain_llm_score,162.6415435807589,0.07691248,474,13.84771826466424,0.0352145336338489,0.9036608080802291
summary_word_count,158.36309976054017,0.04242394,469,6.046875340425455,0.034288181113511354,0.9379489891937405
interview_completion_rate,150.86021615013962,0.0043843854,452,0.5762640649970037,0.03266368505037536,0.9706126742441158
avg_assessment_score,135.72805116048366,0.007827334,406,1.1763261473450097,0.02938732575588431,1.0
