Feature,Importance_Mean,Importance_Std
ideal_years_score,0.1316964285714286,0.016733629298206532
domain_llm_score,0.08258928571428577,0.012822684478879506
summary_length,0.058928571428571476,0.007142857142857162
notice_period_days,0.020982142857142914,0.010944330957260048
years_total,0.018303571428571475,0.0046608511200493365
recruiter_response_rate,0.017410714285714335,0.0037083142245169847
product_company_ratio,0.011160714285714357,0.002232142857142849
summary_word_count,0.010267857142857217,0.005664543544843516
avg_skill_duration_months,0.008482142857142928,0.007321972976275317
domain_x_years,0.008035714285714368,0.0033407655239052927
skills_x_engagement,0.0071428571428572285,0.0029612721342458822
min_assessment_score,0.006696428571428636,0.004115868061291489
max_skill_duration_months,0.004910714285714368,0.0031250000000000062
is_currently_consulting,0.0035714285714286476,0.001785714285714324
assessment_x_endorsement,0.0035714285714286476,0.001785714285714324
num_skills,0.0035714285714286255,0.0033407655239053404
avg_assessment_score,0.003125000000000078,0.0028585376059968386
consulting_penalty,0.0031250000000000665,0.0020457927209624723
num_advanced_skills,0.0031250000000000557,0.004910714285714317
num_assessments,0.0031250000000000444,0.005301045574570531
domain_rag_score,0.0031250000000000444,0.006636637833624357
highest_institution_tier,0.002678571428571486,0.002187044413199313
consulting_role_ratio,0.002678571428571486,0.002187044413199313
max_assessment_score,0.002232142857142916,0.0029947338984372576
interview_completion_rate,0.0022321428571428934,0.0029947338984372576
avg_endorsements_per_skill,0.0017857142857143349,0.0029612721342459325
avg_company_size,0.0017857142857143238,0.002187044413199313
github_x_ml_skills,0.0017857142857143238,0.002187044413199313
has_ml_and_backend,0.0017857142857143238,0.002187044413199313
backend_skill_count,0.0017857142857143128,0.0029612721342459295
core_ml_skill_count,0.001339285714285754,0.004017857142857175
github_activity,0.001339285714285743,0.0020457927209624723
total_endorsements,0.001339285714285743,0.006636637833624355
seniority_x_specialization,0.0008928571428571952,0.003891874056732782
max_seniority,0.0008928571428571619,0.001785714285714324
production_keyword_density,0.00044642857142861424,0.003708314224517033
exp_x_progression,0.00044642857142858096,0.0013392857142857427
domain_deployment_score,3.3306690738754695e-17,0.0034580208448280816
has_ml_and_vector_db,3.3306690738754695e-17,0.004890379977724721
total_domain_hits,3.3306690738754695e-17,0.0034580208448280816
product_x_ml,2.2204460492503132e-17,0.002823462196578935
current_company_size_num,0.0,0.0
is_upward_trajectory,0.0,0.0
current_seniority,0.0,0.0
num_specialized_domains,0.0,0.0
avg_institution_tier,0.0,0.0
seniority_progression,0.0,0.0
domain_vector_db_score,0.0,0.0
domain_eval_score,0.0,0.0
years_squared,0.0,0.0
critical_domain_combo,0.0,0.0
domain_foundation_models_score,0.0,0.0
vector_db_skill_count,-0.00044642857142853656,0.00421159871966815
avg_domain_depth,-0.0004464285714285476,0.003125000000000024
min_company_size,-0.0004464285714285476,0.003125000000000024
is_open_to_work,-0.00044642857142856984,0.0013392857142857097
profile_completeness,-0.00044642857142856984,0.0013392857142857097
num_expert_skills,-0.00044642857142856984,0.0013392857142857097
stability_x_engagement,-0.0013392857142856874,0.004017857142857161
avg_response_time_hours,-0.0013392857142856985,0.00285853760599682
max_domain_depth,-0.0017857142857142794,0.002187044413199258
startup_language_score,-0.0017857142857142794,0.0021870444131992586
