fold,repetition,accuracy,precision,recall,f1_macro
1,1,0.85,0.74761329652634,0.7616071428571428,0.7523089997098205
2,1,0.84,0.7798663522012579,0.7571428571428571,0.7622424275520606
3,1,0.82,0.7517633228840125,0.7986607142857143,0.7593675121870611
4,1,0.8585858585858586,0.7755665902724725,0.7589285714285714,0.761954261954262
5,1,0.8888888888888888,0.8168831168831168,0.8629464285714286,0.8324589295177531
1,2,0.91,0.8910714285714286,0.8709821428571428,0.8726076830434629
2,2,0.86,0.8088624338624338,0.8022321428571428,0.800795292900556
3,2,0.88,0.8084656084656084,0.8584821428571429,0.8242424242424242
4,2,0.898989898989899,0.8169191919191919,0.8348214285714286,0.8016871416871416
5,2,0.8484848484848485,0.7590336134453781,0.7897321428571429,0.7709589152985379
1,3,0.88,0.7738095238095237,0.7785714285714286,0.7747706621451241
2,3,0.82,0.7448979591836734,0.7580357142857143,0.7424359424359424
3,3,0.86,0.7683441558441558,0.7928571428571428,0.7758001422475107
4,3,0.8383838383838383,0.7590684169631537,0.8022321428571428,0.7683406588896206
5,3,0.8282828282828283,0.8032226793398591,0.7919642857142858,0.7946793416920963
1,4,0.79,0.7222222222222222,0.6964285714285714,0.7014636536658808
2,4,0.88,0.7916666666666667,0.8397321428571428,0.8080386208937556
3,4,0.88,0.8627946127946128,0.8303571428571428,0.8367737525632263
4,4,0.8686868686868687,0.8197463768115942,0.7915178571428572,0.8027589658403612
5,4,0.8383838383838383,0.7543290043290043,0.8294642857142858,0.7787783495330665
1,5,0.85,0.7415824915824916,0.7741071428571429,0.748051948051948
2,5,0.87,0.7897408963585434,0.8004464285714286,0.7947431633407243
3,5,0.83,0.750814536340852,0.8075892857142857,0.7726358433905604
4,5,0.8484848484848485,0.8020739742437856,0.8200892857142857,0.8101388463194631
5,5,0.8787878787878788,0.812181598594642,0.8441964285714285,0.8203819475621801
1,6,0.9,0.8594878740970072,0.8549107142857143,0.8564509498807356
2,6,0.88,0.8188461538461539,0.8602678571428571,0.8154049654049653
3,6,0.83,0.7985918423973363,0.7633928571428572,0.7747875213471543
4,6,0.8383838383838383,0.7495614035087719,0.8044642857142857,0.7722463284379173
5,6,0.8585858585858586,0.7660984848484849,0.80625,0.783835964292259
1,7,0.82,0.7050653594771241,0.7160714285714286,0.7070779335485219
2,7,0.84,0.7450980392156863,0.7683035714285714,0.7544162418578306
3,7,0.83,0.7660737812911727,0.7946428571428572,0.7737322039647622
4,7,0.8787878787878788,0.8213768115942028,0.8013392857142856,0.7994620460820364
5,7,0.9292929292929293,0.8721590909090909,0.9071428571428571,0.8880597422455221
1,8,0.91,0.8724475210324267,0.8790178571428572,0.8734060596715751
2,8,0.81,0.7091614906832298,0.7263392857142857,0.7108490566037735
3,8,0.87,0.8171565276828435,0.8227678571428572,0.8169312169312168
4,8,0.8787878787878788,0.7946428571428571,0.8160714285714286,0.804160021547905
5,8,0.8585858585858586,0.7860027158376215,0.8352678571428571,0.7928250393846724
1,9,0.88,0.8556818181818182,0.8084821428571428,0.8183634662992462
2,9,0.87,0.7988553113553114,0.8160714285714286,0.8030516173388335
3,9,0.86,0.7883082497212932,0.8308035714285714,0.8056493289989164
4,9,0.8686868686868687,0.8195970695970697,0.828125,0.8186215061215061
5,9,0.8484848484848485,0.7169642857142856,0.7169642857142856,0.7169642857142856
1,10,0.9,0.8690476190476191,0.80625,0.8260953537137181
2,10,0.89,0.8229000531632111,0.8852678571428572,0.8475717322466548
3,10,0.83,0.7064093314093314,0.7303571428571428,0.7155122655122654
4,10,0.8686868686868687,0.7925925925925926,0.8133928571428571,0.7865930794756678
5,10,0.7878787878787878,0.6924431818181818,0.784375,0.7216291514950899
